mag_id	mag_name
ERR4304451bin_67	cmag_186
ERR4304452bin_111	cmag_187
ERR4304452bin_33	cmag_188
ERR4304452bin_4	cmag_189
ERR4304452bin_53	cmag_190
ERR4304452bin_57	cmag_191
ERR4304452bin_7	cmag_192
ERR4304452bin_8	cmag_193
ERR4304452bin_98	cmag_194
ERR4304454bin_101	cmag_195
ERR4304454bin_104	cmag_196
ERR4304454bin_106	cmag_197
ERR4304454bin_11	cmag_198
ERR4304454bin_35	cmag_199
ERR4304454bin_40	cmag_200
ERR4304454bin_62	cmag_201
ERR4304454bin_69	cmag_202
ERR4304454bin_7	cmag_203
ERR4304454bin_74	cmag_204
ERR4304454bin_8	cmag_205
ERR4304454bin_85	cmag_206
ERR4304454bin_91	cmag_207
ERR4304455bin_104	cmag_208
ERR4304455bin_16	cmag_209
ERR4304455bin_18	cmag_210
ERR4304455bin_34	cmag_211
ERR4304455bin_46	cmag_212
ERR4304455bin_49	cmag_213
ERR4304455bin_70	cmag_214
ERR4304455bin_71	cmag_215
ERR4304455bin_75	cmag_216
ERR4304455bin_84	cmag_217
ERR4304456bin_102	cmag_218
ERR4304456bin_13	cmag_219
ERR4304456bin_14	cmag_220
ERR4304456bin_19	cmag_221
ERR4304456bin_21	cmag_222
ERR4304456bin_30	cmag_223
ERR4304456bin_40	cmag_224
ERR4304456bin_46	cmag_225
ERR4304456bin_54	cmag_226
ERR4304456bin_56	cmag_227
ERR4304456bin_59	cmag_228
ERR4304456bin_6	cmag_229
ERR4304456bin_61	cmag_230
ERR4304456bin_84	cmag_231
ERR4304504bin_1	cmag_232
ERR4304504bin_13	cmag_233
ERR4304504bin_21	cmag_234
ERR4304504bin_46	cmag_235
ERR4304504bin_6	cmag_236
ERR4304504bin_60	cmag_237
ERR4304504bin_66	cmag_238
ERR4304504bin_75	cmag_239
ERR4304504bin_79	cmag_240
ERR4304504bin_8	cmag_241
ERR4304504bin_9	cmag_242
ERR4304505bin_10	cmag_243
ERR4304505bin_105	cmag_244
ERR4304505bin_107	cmag_245
ERR4304505bin_31	cmag_246
ERR4304505bin_4	cmag_247
ERR4304505bin_61	cmag_248
ERR4304505bin_69	cmag_249
ERR4304505bin_95	cmag_250
ERR4304580bin_21	cmag_251
ERR4304580bin_33	cmag_252
ERR4304580bin_57	cmag_253
ERR4304580bin_59	cmag_254
ERR4304580bin_85	cmag_255
ERR4304580bin_90	cmag_256
ERR4304580bin_95	cmag_257
ERR4304580bin_96	cmag_258
ERR4304669bin_23	cmag_259
ERR4304669bin_6	cmag_260
ERR4304808bin_27	cmag_261
ERR4304808bin_28	cmag_262
ERR4304808bin_56	cmag_263
ERR4336989bin_10	cmag_264
ERR4336989bin_105	cmag_265
ERR4336989bin_122	cmag_266
ERR4336989bin_124	cmag_267
ERR4336989bin_13	cmag_268
ERR4336989bin_2	cmag_269
ERR4336989bin_22	cmag_270
ERR4336989bin_33	cmag_271
ERR4336989bin_57	cmag_272
ERR4336989bin_58	cmag_273
ERR4336989bin_74	cmag_274
ERR4336989bin_75	cmag_275
ERR4336989bin_79	cmag_276
ERR4336989bin_8	cmag_277
ERR4336989bin_81	cmag_278
ERR4336989bin_82	cmag_279
ERR4336989bin_97	cmag_280
ERR4835843_bin_17	cmag_281
ERR4835843_bin_18	cmag_282
ERR4835846_bin_12	cmag_283
ERR4835846_bin_20	cmag_284
ERR4835846_bin_27	cmag_285
ERR4835846_bin_30	cmag_286
ERR4835846_bin_32	cmag_287
ERR4835847_bin_22	cmag_288
ERR4835848_bin_12	cmag_289
