ERR4968593_bin_11	ERR4836965_bin_9	17	'ACRYLATE_c', 'Protein-Ox-Disulfides_c', 'THIAMINE_c', 'CPD-12258_c', 'PROPIONATE_c', 'Deoxy-Ribonucleoside-Triphosphates_c', '3-Hydroxy-Terminated-DNAs_c', 'DCTP_c', 'Oxidized-ferredoxins_c', 'ASP-tRNAs_c', 'ALA-tRNAs_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'ETOH_c', 'L-glutamyl-tRNAGln_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'DUMP_c'
ERR4836908_bin_35	ERR4836965_bin_9	18	'CPD-15435_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'Deoxy-Ribonucleoside-Triphosphates_c', '3-Hydroxy-Terminated-DNAs_c', 'CPD-21527_c', 'DCTP_c', 'LACTALD_c', 'CPD-26024_c', 'ASP-tRNAs_c', 'TRP-tRNAs_c', 'ETOH_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'L-glutamyl-tRNAGln_c', 'ALA-tRNAs_c', 'TYR-tRNAs_c', 'GLY-tRNAs_c', 'DCDP_c', 'DUMP_c'
ERR7167047_bin_8	ERR4836965_bin_9	30	'Protein-Ox-Disulfides_c', 'CPD-21527_c', 'CPD-26024_c', 'L-glutamyl-tRNAGln_c', 'ADIPATE_c', 'CPD-15435_c', 'Protein-Arginine-Aminocarbinol_c', 'Oxidized-ferredoxins_c', 'LACTALD_c', 'ALA-tRNAs_c', 'Protein-Cysteine-Hemithioacetal_c', '2-PG_c', 'CPD-597_c', 'DCDP_c', 'FRU1P_c', 'THIAMINE_c', 'CPD-12258_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'PROPIONATE_c', 'Protein-Lysine-Aminocarbinol_c', '3-Hydroxy-Terminated-DNAs_c', 'ASP-tRNAs_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'CPD-12247_c', 'ACRYLATE_c', '5-METHYLTHIOADENOSINE_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'DUMP_c'
ERR4304505bin_69	ERR4836965_bin_9	17	'GLUTATHIONE_c', 'THIAMINE_c', 'CPD-15435_c', 'CPD-12258_c', 'Deoxy-Ribonucleoside-Triphosphates_c', '3-Hydroxy-Terminated-DNAs_c', 'DCTP_c', 'Oxidized-ferredoxins_c', 'ASP-tRNAs_c', 'ALA-tRNAs_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'L-glutamyl-tRNAGln_c', 'L-aspartyl-tRNAAsn_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'GLY-tRNAs_c', 'DUMP_c'
ERR4968574_bin_18	ERR4836965_bin_9	15	'FRU1P_c', 'Protein-Ox-Disulfides_c', 'THIAMINE_c', 'CPD-15435_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'CPD-12258_c', 'CPD-14795_c', 'DCTP_c', 'LACTALD_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'L-glutamyl-tRNAGln_c', 'CPD-12247_c', 'DCDP_c', 'DUMP_c'
ERR4336989bin_8	ERR4836965_bin_9	22	'CPD0-2352_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'CPD-26024_c', 'CPD0-2354_c', 'NITRITE_e', 'SULFATE_c', 'THZ-P_c', 'HS_c', 'MANNOSE-1P_c', 'CPD-15435_c', 'D-SEDOHEPTULOSE-7-P_c', 'LYS-tRNAs_c', 'Oxidized-ferredoxins_c', 'Protein-Cysteine-Hemithioacetal_c', 'GLYCERATE_c', 'DCDP_c', 'PROTOHEME_c', 'PROPIONATE_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'DCTP_c', 'GDP-MANNOSE_c', 'DUMP_c'
ERR4836964_bin_67	ERR4836965_bin_9	44	'CPD0-2352_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'CPD-21527_c', 'CPD-26024_c', 'CPD0-2354_c', 'L-glutamyl-tRNAGln_c', 'Long-Chain-Fatty-Acids_c', 'SULFATE_c', 'HS_c', 'D-ERYTHRO-IMIDAZOLE-GLYCEROL-P_c', 'MANNOSE-1P_c', 'L-PANTOATE_c', 'D-ALTRONATE_c', 'CPD-15435_c', 'Protein-Arginine-Aminocarbinol_c', 'CPD-14795_c', 'Oxidized-ferredoxins_c', 'LACTALD_c', 'ALA-tRNAs_c', 'Protein-Cysteine-Hemithioacetal_c', '2-PG_c', 'CPD-597_c', 'GLYCERATE_c', 'DCDP_c', 'CPD-667_c', 'PROTOHEME_c', 'Dihydro-Lipoyl-Proteins_c', 'GLUTATHIONE_c', 'SELENATE_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'Protein-Lysine-Aminocarbinol_c', '3-Hydroxy-Terminated-DNAs_c', 'ASP-tRNAs_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'Ribonucleoside-Diphosphates_c', '5-METHYLTHIOADENOSINE_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'DCTP_c', 'CPD-31_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'ETOH_c', 'GDP-MANNOSE_c', 'DUMP_c'
ERR4836961_bin_71	ERR4836965_bin_9	40	'CHOLATE_c', 'TYR_c', 'Protein-Ox-Disulfides_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'CPD-21527_c', 'CPD-26024_c', 'CPD0-2354_c', 'L-glutamyl-tRNAGln_c', 'HS_c', 'D-ALTRONATE_c', 'CPD-15435_c', 'Protein-Arginine-Aminocarbinol_c', 'PALMITATE_c', 'Oxidized-ferredoxins_c', 'LACTALD_c', 'ALA-tRNAs_c', 'GLC-1-P_c', '2-PG_c', 'Protein-Cysteine-Hemithioacetal_c', 'ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE_c', 'CPD-15189_c', 'FRU1P_c', 'THIAMINE_c', 'CPD-12258_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'Protein-Lysine-Aminocarbinol_c', '3-Hydroxy-Terminated-DNAs_c', 'ASP-tRNAs_c', 'L-CYSTATHIONINE_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'Ribonucleoside-Diphosphates_c', '5-METHYLTHIOADENOSINE_c', 'SN-GLYCEROL-1-PHOSPHATE_c', 'BENZYL-ALCOHOL_c', 'DCTP_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'MONOMER0-4342_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'DUMP_c'
ERR4303147bin_12	ERR4836965_bin_9	19	'CHOLATE_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'L-glutamyl-tRNAGln_c', 'L-aspartyl-tRNAAsn_c', 'CPD-15435_c', 'Oxidized-ferredoxins_c', 'LACTALD_c', 'ALA-tRNAs_c', 'CPD-15189_c', 'GLUTATHIONE_c', 'THIAMINE_c', 'CPD-12258_c', 'ASP-tRNAs_c', 'DCTP_c', 'TYR-tRNAs_c', 'TRP-tRNAs_c', 'Sulfur-Carrier-Proteins-ThiI_c', 'NIACINE_c', 'DUMP_c'
ERR4836928_bin_17	ERR4836965_bin_9	24	'CHOLATE_c', 'Deoxy-Ribonucleoside-Triphosphates_c', 'Red-Glutaredoxins_c', 'CPD-26024_c', 'L-glutamyl-tRNAGln_c', 'Protein-Histidines_c', 'CPD-15435_c', 'CPD-14795_c', 'LACTALD_c', 'ALA-tRNAs_c', 'GLC-1-P_c', 'XANTHINE_c', 'GLY-tRNAs_c', 'DCDP_c', 'CPD-15189_c', 'GLUTATHIONE_c', 'FRU1P_c', 'THIAMINE_c', 'CPD-12258_c', 'FRUCTOSE-16-DIPHOSPHATE_c', 'D-SEDOHEPTULOSE-1-7-P2_c', 'DCTP_c', 'ETOH_c', 'DUMP_c'
