mag_id	domain	phylum	class	order	family	genus	species
cmag_519	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D	Campylobacter_D coli
cmag_520	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776	
cmag_521	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460	
cmag_522	Bacteria	Firmicutes	Bacilli	RF39	UBA660		
cmag_523	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	
cmag_524	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	Firm-11	Firm-11 sp900553905
cmag_525	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	
cmag_526	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_527	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_528	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	UBA940	
cmag_529	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	HGM11575	
cmag_530	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	
cmag_531	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	UBA3637		
cmag_532	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2866	
cmag_533	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-314	UMGS929	UMGS929 sp900546875
cmag_534	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS2068	
cmag_535	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp002161765
cmag_536	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156		
cmag_537	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
cmag_538	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	
cmag_539	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156		
cmag_540	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAG-521	CAG-521 sp000437635
cmag_541	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
cmag_542	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
cmag_543	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp900066445
cmag_544	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_545	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
cmag_546	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1448	
cmag_547	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_548	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp000437435
cmag_549	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822	
cmag_550	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	
cmag_551	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	CAG-180 sp002314305
cmag_552	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-793	
cmag_553	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	
cmag_554	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	
cmag_555	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	
cmag_556	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_557	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_558	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis_A
cmag_559	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila
cmag_560	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans
cmag_561	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460	
cmag_562	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900554045
cmag_563	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000433175
cmag_564	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	
cmag_565	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
cmag_566	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis
cmag_567	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	
cmag_568	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
cmag_569	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum sp900557315
cmag_570	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900544445
cmag_571	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	
cmag_572	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	
cmag_573	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900543715
cmag_574	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_575	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	
cmag_576	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	
cmag_577	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	
cmag_578	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	
cmag_579	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776	
cmag_580	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_581	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	
cmag_582	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776	
cmag_583	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme
cmag_584	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	CHKCI006	CHKCI006 sp900018345
cmag_585	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales			
cmag_586	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales			
cmag_587	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	UMGS1670	UMGS1670 sp902406135
cmag_588	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_589	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	An92	
cmag_590	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
cmag_591	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	
cmag_592	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
cmag_593	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_594	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
cmag_595	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_596	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis
cmag_597	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis
cmag_598	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter fastidiosus
cmag_599	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
cmag_600	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_601	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
cmag_602	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	AM07-15	
cmag_603	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	
cmag_604	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
cmag_605	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	OF09-33XD	
cmag_606	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus aviarius
cmag_607	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
cmag_608	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UMGS882	UMGS882 sp003343885
cmag_609	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	
cmag_610	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	
cmag_611	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	UBA644		
cmag_612	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	
cmag_613	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	
cmag_614	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	UBA644		
cmag_615	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Nitratidesulfovibrio	Nitratidesulfovibrio vulgaris
