animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CA19.01	CA	CA19	7	7	2019-02-11	151.4	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CA19.02	CA	CA19	7	7	2019-02-11	182.2	NA	NA	NA	probiotic	Female	Ross	standard	1
CA19.06	CA	CA19	8	7	2019-02-12	208	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CA20.01	CA	CA20	7	7	2019-02-11	169.6	NA	NA	NA	probiotic	Female	Cobb	standard	1
CA20.05	CA	CA20	8	7	2019-02-12	231.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CA21.01	CA	CA21	7	7	2019-02-11	219.2	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA21.02	CA	CA21	7	7	2019-02-11	172	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA21.03	CA	CA21	7	7	2019-02-11	202.6	NA	NA	NA	phytobiotic	Male	Ross	standard	1
CA21.05	CA	CA21	8	7	2019-02-12	187.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA22.01	CA	CA22	7	7	2019-02-11	173.2	NA	NA	NA	control	Male	Cobb	standard	1
CA22.05	CA	CA22	8	7	2019-02-12	272.6	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CA23.01	CA	CA23	7	7	2019-02-11	194.6	NA	NA	NA	control	Male	Ross	standard	1
CA23.04	CA	CA23	8	7	2019-02-12	233	FALSE	FALSE	FALSE	control	Male	Ross	standard	1
CA24.01	CA	CA24	7	7	2019-02-11	180	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CA24.02	CA	CA24	7	7	2019-02-11	196.8	NA	NA	NA	phytobiotic	Female	Ross	standard	1
CA24.05	CA	CA24	8	7	2019-02-12	171.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
