pen	body_weight_at_day_00_g	body_weight_at_day_07_g	body_weight_at_day_21_g	body_weight_at_day_35_g	average_daily_gain_g_day_00_07	average_daily_feed_intake_g_day_00_07	feed_to_conversion_ratio_g_g_day_00_07	fcr_not_corrected_day_00_07	mortality_percent_day_00_07	mortality_percent_without_culleds_day_00_07	european_performance_efficiency_factor_day_00_07	average_daily_gain_g_day_07_21	average_daily_feed_intake_g_day_07_21	feed_to_conversion_ratio_g_g_day_07_21	fcr_not_corrected_day_07_21	mortality_percent_day_07_21	mortality_percent_without_culleds_day_07_21	european_performance_efficiency_factor_day_07_21	average_daily_gain_g_day_21_35	average_daily_feed_intake_g_day_21_35	feed_to_conversion_ratio_g_g_day_21_35	fcr_not_corrected_day_21_35	mortality_percent_day_21_35	mortality_percent_without_culleds_day_21_35	european_performance_efficiency_factor_day_21_35	average_daily_gain_g_day_00_35	average_daily_feed_intake_g_day_00_35	feed_to_conversion_ratio_g_g_day_00_35	fcr_not_corrected_day_00_35	mortality_percent_day_00_35	mortality_percent_without_culleds_day_00_35	european_performance_efficiency_factor_day_00_35	litter_at_day_07_p_h	litter_at_day_21_p_h	litter_at_day_35_p_h	carcass_body_weight_mean_g	carcass_weight_mean_g	breast_weight_mean_g	legs_weight_mean_g	abdominal_fat_weight_mean_g	carcass_yield_mean_percent	breast_yield_mean_percent	legs_yield_mean_percent	abdominal_fat_yield_mean_percent	tbars_mean_mg_mda_kg	cortisol_at_day_07_mean_feather_pg_mg	cortisol_at_day_21_mean_feather_pg_mg	cortisol_at_day_35_mean_feather_pg_mg	crp_at_day_07_mean_pg_ml	crp_at_day_21_mean_pg_ml	crp_at_day_35_mean_pg_ml	hpt_at_day_07_mean_ng_ml	hpt_at_day_21_mean_ng_ml	hpt_at_day_35_mean_ng_ml	lps_at_day_07_mean_ng_l	lps_at_day_21_mean_ng_l	lps_at_day_35_mean_ng_l
CA22	42.94	167.05	950.18	2376.43	17.73	19.16	1.08	1.08	0	0	164.1	55.94	72.33	1.293	1.293	0	0	432.59	101.88	169.44	1.663	1.663	0	0	612.52	66.67	99	1.485	1.485	0	0	449	6.24	7.55	7.43	2869.33	2236.08	582.5	577.6	49.93	77.92	20.29	20.12	1.75	0.0367	13.314	19.0517	26	1.09845	1.05357	1.13563	0.80698	0.71261	0.63926	3.50134	3.98968	6.86032
CA21	38.83	156.46	828.19	2099.92	16.81	18.4	1.095	1.105	2.5	0	149.63	47.98	64.4	1.342	1.361	2.56	0	348.3	90.84	170.51	1.877	1.877	0	0	483.92	58.89	95.51	1.622	1.631	5	0	344.92	7.09	7.85	7.87	2324.67	1756	416.4	487.83	29.83	75.49	17.88	20.99	1.28	0.0467	18.98	12.0283	17.0683	1.05357	1.09592	1.124	1.12337	0.78958	0.63245	3.84217	4.07059	6.64116
CA20	42.75	164.58	888.71	2078.29	17.4	20.71	1.19	1.19	0	0	146.26	51.72	65.62	1.269	1.269	0	0	407.73	84.97	165.26	1.945	1.945	0	0	436.88	58.16	94.34	1.622	1.622	0	0	358.53	5.75	7.33	7.34	2380.67	1820.22	484.85	467.65	38.5	76.41	20.36	19.63	1.61	0.03	16.5867	13.8483	16.0017	1.05357	1.05357	1.05357	2.10972	0.61434	0.71075	3.65938	4.20379	6.91831
CA19	39.74	161.8	811.26	1885.68	17.44	18.7	1.072	1.072	0	0	162.6	46.39	61.14	1.318	1.318	0	0	352	76.74	162.68	2.12	2.12	0	0	362.03	52.74	90.75	1.721	1.721	0	0	306.5	5.57	6.95	7.88	2355.83	1817.57	491.3	453.4	33.83	77.17	20.82	19.25	1.43	0.0533	10.5617	12.0167	15.8117	1.05357	1.05357	1.10649	0.89221	0.61203	0.59161	3.749	4.11417	6.90816
CA18	44.17	166.38	899.56	2093.39	17.46	19.67	1.127	1.127	0	0	154.95	52.37	66.27	1.265	1.265	0	0	413.84	85.27	161.99	1.9	1.9	0	0	448.9	58.55	93.15	1.591	1.591	0	0	368	5.86	7.64	7.82	2274.5	1789.98	487.2	446.62	35.82	78.59	21.31	19.69	1.57	0.0433	11.5267	10.6867	13.3433	1.05357	1.05357	1.21219	1.87638	0.63476	0.59161	3.78927	4.00108	5.59876
CA17	39.81	171.71	867.38	2085	18.84	19.4	1.03	1.066	5	0	173.83	49.69	64.7	1.302	1.302	0	0	381.61	86.97	167.07	1.921	1.921	0	0	452.76	58.43	94.24	1.613	1.617	5	0	344.21	6.59	7.09	7.55	2117.5	1609.55	371.42	443.87	22.52	75.9	17.34	20.93	1.04	0.0533	14.6667	10.8817	16.2067	1.05357	1.05357	1.05357	0.96841	0.64603	0.59161	3.54156	4.08296	3.23686
CA16	42.82	169.18	973.71	2433.68	18.05	19.14	1.06	1.06	0	0	170.29	57.47	75.12	1.307	1.307	0	0	439.62	104.28	161.67	1.55	1.55	0	0	672.66	68.31	97.43	1.426	1.426	0	0	478.96	5.65	7.03	6.54	2731.67	2128.63	552.8	561.77	43.43	77.9	20.19	20.58	1.58	0.03	13.4817	10.855	17.9	1.05357	1.05357	1.05357	2.00632	0.78656	0.62841	3.60098	4.12834	3.30496
CA15	42.55	170.3	931.33	2087.81	18.25	19.3	1.058	1.058	0	0	172.55	54.36	66.54	1.224	1.231	2.5	0	432.99	82.61	168.63	2.041	2.041	0	0	404.66	58.44	95.21	1.629	1.633	2.5	0	349.7	5.86	7.23	7.81	2384.33	1827.95	494.32	464.5	44.85	76.59	20.73	19.44	1.88	0.05	9.7483	10.38	11.2617	1.05357	1.05357	1.05357	0.96255	0.9714	0.85739	3.6799	4.06365	2.97321
CA14	39.21	163	827.62	1984.54	17.68	19.1	1.08	1.08	0	0	163.77	47.47	59.67	1.257	1.257	0	0	377.66	82.64	160.86	1.947	1.947	0	0	424.52	55.58	89.92	1.618	1.618	0	0	343.57	7.12	7.14	8.15	2399.17	1818.65	472.13	465.42	35.72	75.78	19.63	19.41	1.49	0.0467	9.0933	10.3317	14.8583	1.05357	1.05357	1.50114	1.75191	0.6552	0.59161	3.62017	3.9979	2.97321
CA13	42.71	166.8	983	2477.36	17.73	18.92	1.067	1.067	0	0	166.1	58.3	79.17	1.358	1.358	0	0	429.3	106.74	168.04	1.574	1.574	0	0	678.01	69.56	101.57	1.46	1.46	0	0	476.4	5.66	7.95	7.8	2813	2156.82	591.92	543.03	46.93	76.63	21.03	19.32	1.66	0.03	11.9217	15.065	17.5867	1.2573	1.05357	1.05357	1.66138	0.87642	0.65998	3.6715	4.05432	2.97321
CA12	39.87	162.23	847.71	2250.26	17.48	18.34	1.049	1.049	0	0	166.64	48.96	59.47	1.215	1.215	0	0	403.09	100.18	170.92	1.706	1.792	2.86	2.94	569.94	63.15	93.97	1.488	1.531	2.5	2.5	413.82	6.09	7.26	7.73	2446.5	1956.35	478.42	521.65	33.75	80.1	19.6	21.36	1.37	0.0533	11.42	12.4133	12.6317	1.05357	1.05357	1.05357	1.56255	0.59161	0.80032	3.41816	2.97321	3.08206
