animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA08.01	171	0.27	111.9	17.04	9.92
CA08.02	183.6	0	32.82	5.98	10.18
CA08.03	121.8	0.3	101.36	12.71	14.05
CA08.04	203.4	0.34	34.51	13.14	14.33
CA08.05	194.6	0.28	22.99	12.76	17.54
CA08.06	224	0.31	137.05	13.18	22.87
CA08.07	878.6	0.54	121.29	12.59	10.86
CA08.08	1182.2	0	34.31	5.87	12.28
CA08.09	801.2	0.03	33.68	6.76	10.57
CA08.10	988.2	0	31.83	9.44	8.54
CA08.11	998	0	30.28	9.66	12.84
CA08.12	1198.8	0	33.94	8.54	9.34
CA08.13	2346.4	0.11	64.29	9.57	20.71
CA08.14	2278.2	0.07	1.77	9.57	9.97
CA08.15	2314.2	0.12	26.03	8.66	12.08
CA08.16	1725.6	0.27	30.07	10.21	10.31
CA08.17	2036.6	0.21	50.63	12.93	14.27
CA08.18	2132.8	0.16	88.04	11.45	14.52
CA09.01	156	1.34	208.83	12.63	12.41
CA09.02	147.6	0.39	127.01	15.33	12.44
CA09.03	205.4	0.27	1048.24	14.13	10.45
CA09.04	202	0.3	149.39	12.55	13.64
CA09.05	225.4	0.26	238.4	12.88	9.76
CA09.06	146.2	0.36	465.25	12.67	15.78
CA09.07	813.2	0	29.07	6.2	10.18
CA09.08	833.4	0	31.34	7.98	12.22
CA09.09	931.2	0	32.01	6.42	13.91
CA09.10	825.2	0	31.76	5.21	8.7
CA09.11	999.4	0	89.63	10.11	10.95
CA09.12	1022.6	0	31.94	5.76	13.7
CA09.13	1778.6	0.06	0	12.4	10.74
CA09.14	2272.6	0.27	772.79	9.08	16.58
CA09.15	2356.6	0.15	0	10.36	9.08
CA09.16	2525	0.37	0	10.14	8.87
CA09.17	2249.2	0.35	0	9.79	10.21
CA09.18	2194.2	0.31	0	10.07	11.72
CA10.01	179.4	0.45	189.76	12.88	12.45
CA10.02	197.2	0.33	14.98	13.18	10.83
CA10.03	160.2	0.42	18.61	13.39	7.2
CA10.04	183.6	0.29	757.39	13.57	25.22
CA10.05	180.4	0.29	620.58	13.22	16.45
CA10.06	217.8	0.3	506.98	12.34	11.65
CA10.07	711	0	34.97	9.55	10.36
CA10.08	785.4	0	34.14	7.65	16.19
CA10.09	851.8	0	28.41	6.76	11.06
CA10.10	776.8	0	31.45	7.65	6.37
CA10.11	975.4	0	30.02	6.87	12.06
CA10.12	688.8	0	34.02	6.09	16.32
CA10.13	2030	0.38	16.68	9.5	13.91
CA10.14	2019.6	0.39	0	10.21	12.63
CA10.15	2368	0.07	0	10.29	11.89
CA10.16	2050	0.47	140.68	9.22	11.71
CA10.17	2274	0.13	49.97	8.87	20.67
CA10.18	2118.8	0.39	0	9.08	13.5
CA11.01	185.2	0.35	42.1	13.1	12.04
CA11.02	171	0.47	63.25	12.76	15.57
CA11.03	178.6	0.3	68.09	12.71	11.5
CA11.04	179	0.29	135.25	13.48	13.59
CA11.05	197	0.37	385.19	12.42	17.08
CA11.06	198	0.3	466.38	12.34	12.69
CA11.07	712.8	0	30.35	6.53	11.69
