animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CB07.01	181.4	4.75	103.89	52.39	11.97
CB07.02	212.7	4.92	69.78	49.89	9.94
CB07.03	182.8	4.76	2.42	49.45	5.97
CB07.04	248.1	3.54	1910.98	46.26	6.05
CB07.05	194.5	2.27	2036.43	47	11.74
CB07.06	226.8	3.76	1883	44.92	12.51
CB07.07	902.6	0.94	64.8	30.57	5.72
CB07.08	1107	0.79	21.56	33.84	51.94
CB07.09	1044.5	0.29	22.35	32.5	9.78
CB07.10	1006.6	0.69	68.56	6.96	5.86
CB07.11	1112.6	0.21	65.55	14.58	7.97
CB07.12	1154.2	0	84.88	11.42	8.92
CB07.13	2540.7	0	74.39	16.94	11.2
CB07.14	2280	0	65.83	10.69	18.42
CB07.15	2658	0	54.73	45.28	48.73
CB07.16	2022.5	0.33	87.78	44.61	10.5
CB07.17	2436.1	0	16.36	46.79	14.3
CB07.18	3023.4	0.03	35.84	46.29	21.39
CB08.01	206.9	2.9	0	47.85	9.07
CB08.02	190.2	3.14	201.72	55.69	12.46
CB08.03	179.3	2.98	1399.2	45.16	8.7
CB08.04	203.4	3.21	666.25	53.17	8.47
CB08.05	225.3	8.87	4216.1	50.37	12.23
CB08.06	217.8	0.89	21.1	28.07	6.99
CB08.07	1115.9	0.75	21.1	37.71	6.38
CB08.08	973.8	0.87	34.19	34.95	13.98
CB08.09	892.9	0	72.71	12.44	5.92
CB08.10	1034.5	5.97	506.5	54.04	5.67
CB08.11	927.9	0	76.17	10.42	8.93
CB08.12	1171.3	0.24	65.46	2.33	8.34
CB08.13	2182.5	0	114.53	7.68	21.95
CB08.14	2100.3	0	74.73	8.43	9.28
CB08.15	2664.6	0	8.64	49.17	14.69
CB08.16	2300.9	1	14.84	35.72	40.36
CB08.17	2894	0	37.52	47.81	26.5
CB08.18	2140.3	0	52.46	45.45	45.54
CB09.01	168.3	8.28	117.54	50.33	24.8
CB09.02	184.6	4.16	64.33	44.4	18.25
CB09.03	194	2.5	1069.41	38.12	7.81
CB09.04	187.6	2.99	0	51.76	9.47
CB09.05	221.1	3.57	0	52.4	19.12
CB09.06	221.2	2.64	177.11	56.02	9.67
CB09.07	1065.4	0.88	123.2	33.84	7.43
CB09.08	924.4	0.71	45.14	40	9.81
CB09.09	905.9	0	43.9	36.82	11.45
CB09.10	996.8	0.93	69.46	8.34	7.74
CB09.11	1040.1	1.11	73.55	7.68	6.82
CB09.12	860	0	111.25	6.25	10.29
CB09.13	1410.3	0	65.52	14.68	9.13
CB09.14	2362.6	0	82.92	14.78	6.94
CB09.15	2256	0	296.65	52.63	7.96
CB09.16	2222.6	0.98	29.55	46.79	5.25
CB09.17	2223	0.57	149.91	14.92	7.05
CB09.18	1974.4	0	63.59	8.44	5.36
CB10.01	170.7	1.89	50.08	46.11	7.29
CB10.02	192.2	1.24	80.09	43.69	11.28
CB10.03	183.4	2.39	123.22	45.11	18.36
CB10.04	221.7	2.08	394.88	50.62	10.48
CB10.05	164.5	1.01	7.9	53.55	10.46
CB10.06	206.5	0.96	0	51.26	7.2
CB10.07	921	0.85	24.82	35.2	5.67
CB10.08	876.5	0.66	94.57	36.32	7.68
CB10.09	864.4	0	45.56	35.57	6.38
CB10.10	966.4	0	139.74	11.24	8.94
CB10.11	914.1	0.4	83.38	11.88	8.11
CB10.12	991.9	0	69.46	10.87	4.92
CB10.13	1944.5	0	81.02	19.75	6.53
CB10.14	2039.6	0	65.37	14.88	5.86
CB10.15	1850.8	0.95	162.22	43.62	5.96
CB10.16	2059.6	0.5	13.78	46.12	9.82
CB10.17	1997	0.16	137.69	11.97	13.74
CB10.18	2352	1.67	50.16	8.13	6.59
CB11.01	195.5	6.87	24.65	44.69	8.8
CB11.02	199.4	3.86	36.5	44.83	10.11
CB11.03	168.8	6.05	2059.64	53.89	6.89
CB11.04	243.7	2.26	171.56	52.91	7.43
CB11.05	217.8	3.69	90.09	47.5	10.5
CB11.06	217	2.38	56.78	50.75	23.16
CB11.07	864	0.66	32.98	38.21	26.12
CB11.08	883.2	0.84	71.31	40.77	6.37
CB11.09	900.6	0.93	145.03	34.83	6.47
CB11.10	895.6	0.87	70.02	11.7	6.41
CB11.11	1043.9	1	65.9	9.63	100.72
CB11.12	987.5	0.93	73.53	4.38	19.48
CB11.13	2332.4	0	77.87	14.68	4.2
CB11.14	1960.4	0	67.1	12.63	55.89
CB11.15	1978.4	1.91	67.76	43.95	6.53
CB11.16	2329.2	0.65	79.95	61.21	16.33
CB11.17	2256	0.5	56.61	9.4	10.58
CB11.18	2549.1	0	45.65	9.72	17.67
CB12.01	187.8	2.77	0	50.62	19.67
CB12.02	191.7	3.36	8.99	49.45	9.96
CB12.03	188.9	6.14	248.51	51.21	17.04
CB12.04	223.3	1.96	310.37	52.15	12.66
CB12.05	213.1	3.17	476.34	48.49	15.89
CB12.06	224	4.22	846.52	47	11.35
CB12.07	1048.2	0.24	49.06	37.83	9.4
CB12.08	789	0	59.35	33.97	11.6
CB12.09	877.8	0	20.9	32.74	9.86
CB12.10	1084	0.56	69.77	6.02	9.18
CB12.11	1021.3	0	69.99	2.86	9.68
CB12.12	1100	0.47	66.47	13.3	11.72
CB12.13	2590.8	0	66.07	11.7	15.13
CB12.14	2902.5	0	82.38	11.51	23.27
CB12.15	2513	0.5	28.81	45.78	9.18
CB12.16	2420.1	0	228.44	52.1	15.05
CB12.17	2400.7	1.73	44.03	9.56	10.17
CB12.18	2099.9	0.62	101.89	9.4	5.59
CB13.01	152.3	3.11	181.58	48.28	13.78
CB13.02	181.2	2.33	34.82	51.65	12.87
CB13.03	183.2	3.87	110.62	53.89	4.44
CB13.04	210.3	2.33	564.53	46.39	9.34
CB13.05	241.5	2.46	149.13	47.87	5.77
CB13.06	235.6	2.44	0	51.64	5.82
CB13.07	1116.7	0.79	223.68	37.33	4.98
CB13.08	999.5	0.67	73.05	32.99	7.77
CB13.09	852.5	0	77.53	35.57	19.78
CB13.10	1030.1	0	68.93	6.32	NA
CB13.11	940.6	0.75	74.03	5.11	23.3
CB13.12	1116.7	0.57	78.83	5.41	13
CB13.13	2265.9	0	9.69	47.13	21.86
CB13.14	2106.3	0.5	12.42	42.3	81.16
CB13.15	2205.3	0	7.1	57.23	29.54
CB13.16	2322.3	0.15	22.77	50.89	13.89
CB13.17	2588.7	0.63	42.46	7.97	20.2
CB13.18	1877.2	0	187.32	9.72	28.95
CB14.01	179.8	6.72	144.06	45.54	7.06
CB14.02	156.4	4.9	0	55.84	6.19
CB14.03	198.6	4.41	614.47	56.75	7.05
CB14.04	222.1	1.16	1351.88	50.5	7.86
CB14.05	184.1	3.56	32.6	49.24	14.25
CB14.06	224.7	6.64	169.41	53.17	7.08
CB14.07	1011.4	0	143.95	38.72	17.22
CB14.08	986.2	0.44	51.43	38.59	56.16
CB14.09	1013.9	0.56	43.09	41.54	50.46
CB14.10	959.8	0.93	65.34	12.73	14.32
CB14.11	978.4	0.74	65.36	6.64	20.53
CB14.12	1056.8	0	76.29	5.33	9.93
CB14.13	2110.4	0.98	76.18	47.47	11.61
CB14.14	2264.3	0.73	6.51	47.81	26
CB14.15	2268.7	0.93	80.22	51.58	46.15
CB14.16	2351.8	1	28.96	55.8	9.32
CB14.17	2596	0.68	76.97	7.49	4.11
CB14.18	2418.9	0	44.03	8.76	73.7
CB15.01	191.4	4.31	262.68	52.84	3.91
CB15.02	211.7	7.29	27.64	54.34	15.42
CB15.03	161.8	3.39	332.3	52.69	7.41
CB15.04	199.2	5.08	846.52	48.49	5.29
CB15.05	199.5	2.32	58.14	50.24	13.45
CB15.06	209.4	3.35	188.9	50.88	17.48
CB15.07	890.9	0	22.7	31.65	5.08
CB15.08	947.4	0	22.25	37.45	6.71
CB15.09	907.2	0	64.8	42.06	7.99
CB15.10	1032.2	0.54	116.56	6.4	15.32
CB15.11	1023.5	0.86	129.82	8.77	36.31
CB15.12	1033	0	102.25	6.88	19.33
CB15.13	2047.9	0.62	9.98	51.06	44.51
CB15.14	1970.4	0.64	29.55	49.34	17.57
CB15.15	2285.2	0.29	11.57	54.56	11.99
CB15.16	2173.2	0.25	30.3	51.76	84.16
CB15.17	2152.5	0	44.85	10.68	55.14
CB15.18	2197.6	0	56.52	8.92	12.47
CB16.01	224.2	6.44	334.61	62.15	9.67
CB16.02	155.7	3.58	129.02	60.59	7.74
CB16.03	183.4	6.16	219.4	65.93	16.02
CB16.04	223	6.44	93.19	47	4.73
CB16.05	222.1	2.06	288.84	51.64	27.98
CB16.06	239.3	4.62	1418.58	52.27	6.36
CB16.07	1083.5	0.56	23.74	39.74	16.1
CB16.08	1031.5	0	22.8	38.08	12.66
CB16.09	871.1	0	31.86	39.74	54.72
CB16.10	1031.4	0	72.48	8.18	36.39
CB16.11	731.1	0	65.38	11.42	26.15
CB16.12	966.6	0.21	65.42	10.69	13.42
CB16.13	2600.6	0.22	11.57	42.79	22.88
CB16.14	2050.8	0.02	127.69	36.51	5.04
CB16.15	2506.3	0.4	217.67	43.95	20.53
CB16.16	2309.2	0.11	37.69	48.32	9.35
CB16.17	3191.9	0	43.36	8.92	33.01
CB16.18	2404.1	1.36	97.12	8.92	19.51
CB17.01	215.5	7.47	0	46.14	6.64
CB17.02	219.5	5.29	0	45.04	8.02
CB17.03	180.8	10.13	23.08	42.63	9.45
CB17.04	219.4	4.87	0	47.62	8.42
CB17.05	169.7	2.7	0	51	9.2
CB17.06	202.2	1.72	561.38	41.56	6.01
CB17.07	609.7	0	43.96	39.48	14.49
CB17.08	991.3	0.86	139.28	41.16	8.9
CB17.09	1170.2	0	20.98	40	11.83
CB17.10	1130.3	0.5	72.92	8.68	14.51
CB17.11	1020.6	0	97.93	4.38	22.54
CB17.12	1278.1	0	74.03	7.52	14.96
CB17.13	2314.8	0	6.83	43.78	18
CB17.14	2362	0.67	12.42	45.28	32.07
CB17.15	2484.6	0.01	60.08	64.91	14.75
CB17.16	2676.8	0.6	3.96	48.32	8.08
CB17.17	2729.1	0.85	42.68	9.72	17.93
CB17.18	2758.3	1.44	104.06	9.72	24.16
CB18.01	197.8	7.17	0	35.53	18.79
CB18.02	180.5	6.13	55.43	43.83	14.49
CB18.03	171.3	6.11	0	41.32	182.94
CB18.04	224.5	0.97	279.48	45.9	12.4
CB18.05	206.4	4.69	1025.87	45.65	9.59
CB18.06	217	2.87	94.75	45.53	13.31
CB18.07	912.8	0	97.52	41.29	10.63
CB18.08	739.8	0.83	83.35	41.67	10.98
CB18.09	876.1	0.21	50.43	40.25	7.46
CB18.10	1092.9	0	66.67	11.97	8.74
CB18.11	918.3	0.54	80.27	9.71	25.09
CB18.12	837.8	0.7	65.35	11.79	12.93
CB18.13	2538.2	0.37	32.77	45.45	5.21
CB18.14	2033.5	0.53	35.18	41.64	12.18
CB18.15	2367.6	0.49	351.26	57.23	15.5
CB18.16	2288.1	0.33	4.82	53.33	11.2
CB18.17	2812.4	0	94.9	8.13	11.93
CB18.18	2177.2	0	171.06	8.92	7.18
CB19.01	211.7	6.64	0	44.32	21.04
CB19.02	216.5	11.33	386.84	37.36	9.24
CB19.03	157.1	7.37	16.38	47.87	22.8
CB19.04	228.2	2.14	494.04	42.75	6.79
CB19.05	207.9	2.17	1042.6	44.19	8.23
CB19.06	202.5	3.57	1304.2	48.24	6.76
CB19.07	859.8	0	45.62	44.95	21.74
CB19.08	971.8	0.84	33.58	44.29	11.35
CB19.09	984	0	36.46	39.87	5.95
CB19.10	1038.7	0	66.83	10.42	27.8
CB19.11	1051	0.65	79	3.54	13.68
CB19.12	900.9	0.92	59.06	14.48	14.27
CB19.13	2290.2	0.4	99.09	39.7	8.59
CB19.14	2115.8	1.54	34.37	38.89	25.62
CB19.15	1998.6	0.89	101.66	58.13	13.22
CB19.16	2566.8	0.62	104.57	46.79	17.18
CB19.17	2253	0	49.27	7.97	29.96
CB19.18	2500.3	0	75.21	8.6	17.75
CB20.01	203	5.53	5.86	44.68	14.64
CB20.02	188.8	5.27	0	41.8	11.8
CB20.03	197.4	4.19	0	39.32	11.43
CB20.04	206	2.17	270.24	47.13	11.23
CB20.05	200.5	3.01	441.82	47	7.33
CB20.06	224.1	2.56	743.1	41.09	8.19
CB20.07	901.1	0	22.8	32.74	6.31
CB20.08	1060.5	0.45	20.88	39.23	18.15
CB20.09	881.2	0	89.55	44.95	25.63
CB20.10	1103.7	0	88.08	8.43	10.19
CB20.11	918.4	0	72.25	10.33	14.36
CB20.12	921.6	0.65	77.98	17.78	25.11
CB20.13	2059.1	0	155.35	42.14	13.69
CB20.14	2643.5	0	3.4	35.25	10.42
CB20.15	2287	0.56	33.4	51.24	9.67
CB20.16	2568.4	0.33	36.67	57.05	13.24
CB20.17	2394.4	0	63.48	8.6	18.74
CB20.18	2639.2	1.26	60.78	7.97	12.14
CB21.01	179.1	6.13	303.12	36.33	15.03
CB21.02	177.2	2.19	0	43.47	8.77
CB21.03	176	2.33	0	42.99	8.82
CB21.04	190	1.51	1467.6	40.73	9.74
CB21.05	190	3.74	2349.13	42.75	7.74
CB21.06	227.1	2.82	2399.05	42.87	19.7
CB21.07	938.6	0	47.72	40.51	8.01
CB21.08	898.3	0	21.96	42.06	5.98
CB21.09	887.6	0	26.91	43.76	6.36
CB21.10	898.1	0	66.18	15.59	17.5
CB21.11	887.2	0	69.77	13.02	20.52
CB21.12	907.9	0	65.36	13.21	10.56
CB21.13	1792.7	0.23	179.54	48.15	13.87
CB21.14	2184.8	0.12	67.76	42.14	15.29
CB21.15	2037	0	4.65	62.87	13.9
CB21.16	1687.2	0.68	545.75	38.73	18.02
CB21.17	2148.9	0.29	81.58	14.76	5.2
CB21.18	2284.6	0	116.55	9.72	9.28
CB22.01	180.9	3.45	0	40.61	7.91
CB22.02	179.6	3.54	0	49.24	8.81
CB22.03	168.1	2.99	0	46.76	8.94
CB22.04	203.3	2.99	209.18	43.59	14.06
CB22.05	229.3	0.38	22.06	37.58	12.81
CB22.06	241.5	0.39	21.5	35.08	11.23
CB22.07	707.3	0.75	23.05	38.85	8.68
CB22.08	876.6	0	21.02	39.48	5.77
CB22.09	897	0.78	29.94	41.93	5.32
CB22.10	981.3	0.55	67.5	15.39	9.39
CB22.11	936.9	0.43	82.62	14.38	8.58
CB22.12	971.5	0.47	80.6	12.82	12.67
CB22.13	2273.1	0.08	101.66	51.41	16.16
CB22.14	2050.8	1.16	48.47	45.61	7.83
CB22.15	1915.5	0	169.64	52.8	4.51
CB22.16	1755	0.72	205.09	59.75	8.18
CB22.17	1783.8	0	77.87	11	4.41
CB22.18	2453.6	0	45.88	10.36	6.39
CB23.01	208.3	2.8	270.24	44.44	14.25
CB23.02	178.9	3.92	1452.81	42.15	16.44
CB23.03	181.5	1.7	272.82	42.63	14.9
CB23.04	187.2	0.84	213.09	27.02	6.12
CB23.05	226.8	0.89	22.35	27.84	9.69
CB23.06	216.2	0.91	23.87	33.97	7
CB23.07	998	0	33.28	42.32	11.13
CB23.08	1068.2	0.86	326.18	49.11	10.5
CB23.09	1024.6	0.84	113.14	46.55	17.95
CB23.10	937.2	0	145.03	12.63	23.21
CB23.11	987.5	0.38	72.49	18.76	22.84
CB23.12	1190.9	0.63	107.51	9.8	22.45
CB23.13	2200.5	0	44.65	41.48	15.61
CB23.14	2025.9	0.37	35.84	49.34	10.41
CB23.15	2403	0.07	50.45	66.4	12.17
CB23.16	1728.4	0.4	224.1	58.67	26.41
CB23.17	2437.8	0	44.62	10.36	11.39
CB23.18	2143.8	0	42.57	9.08	11.14
CB24.01	195.8	3.33	93.19	44.92	7.24
CB24.02	210.2	0.79	0	42.03	27.93
CB24.03	185.8	2.85	126.13	43.71	20.83
CB24.04	245.6	0.59	23.89	32.62	10.63
CB24.05	247	0.62	78.82	31.53	8.51
CB24.06	212.5	0.37	54.32	33.6	10.73
CB24.07	1099.2	0.77	107.51	43.37	14.21
CB24.08	1184.9	0.78	20.98	39.61	12.95
CB24.09	864.5	0.79	104.37	41.8	8.8
CB24.10	891.3	0.24	66.08	11.7	26.65
CB24.11	1024	0	65.48	11.7	40.82
CB24.12	1075.3	0	65.63	9.89	12.9
CB24.13	2700.1	0.16	8.91	40.67	11.95
CB24.14	2680.9	0	3.96	41.81	21.13
CB24.15	2221.5	0.51	367.15	55.62	35.22
CB24.16	2731.8	0	3.4	60.48	24.26
CB24.17	2921.5	0.2	50.51	10.36	66.3
CB24.18	2602.5	0	43.82	11.49	28.54
CC01.01	161.2	3.89	0	17.91	8.13
CC01.02	172.1	5.62	0	17.45	10.59
CC01.03	176	6.51	0	16.21	3.89
CC01.04	173.8	4.61	0	19.09	9.42
CC01.05	221.5	6.17	115.66	16.32	4.83
CC01.06	217.7	6.38	60.93	16.32	7.95
CC01.07	1092	7.34	0	43.94	6.36
CC01.08	1144	2.46	41.22	39.35	13.6
CC01.09	924	5.57	22.3	42.06	9.18
CC01.10	1004	2.5	6.83	39.35	11.87
CC01.11	1032	1.71	34.3	34.53	12.12
CC01.12	1270	2.43	5.89	32.26	8.41
CC01.13	1858	2.82	52.87	4.15	12.04
CC01.14	2180	0.83	26.52	10.11	30.52
CC01.15	2350	1.03	88.05	8.75	26.23
CC01.16	2650	1.29	42.95	9.81	52.67
CC01.17	2372	1.33	92.01	11.04	34.18
CC01.18	2550	1.26	33.29	8.18	47.03
CC02.01	159.4	1.74	0	13.15	5.77
CC02.02	173.5	6	0	14.38	5.8
CC02.03	155.5	0.52	300.71	18.62	6.37
CC02.04	213.8	6.3	34.19	18.97	6.44
CC02.05	134.9	5.59	61.55	17.11	8.1
CC02.06	193.6	5.86	0	21.44	4.82
CC02.07	850	3.63	20.54	39.51	8.37
CC02.08	908	5.19	NA	39.35	2.34
CC02.09	948	2.68	NA	48.48	2.52
CC02.10	1146	2.76	26.55	43.94	9.71
CC02.11	1088	2.17	81.96	40.87	12.49
CC02.12	952	1.58	78.32	40.02	11.27
CC02.13	1950	1.32	42.95	8.96	28.82
CC02.14	2080	2.42	47.5	9.24	17.66
CC02.15	1910	4.47	36.27	12.94	15.05
CC02.16	2060	2.29	50.13	9.93	16.6
CC02.17	2104	1.24	126.73	9.81	16.14
CC02.18	2082	1.09	63.3	9.64	15.68
CC03.01	165.7	4.35	0	15.66	6.8
CC03.02	193	6.52	0	18.97	4.45
CC03.03	184.8	5.28	0	20.81	6.37
CC03.04	198.6	5.45	0	16.77	6.51
CC03.05	185.2	2.7	0	19.94	7.54
CC03.06	159.5	3.69	5.32	17.22	3.74
CC03.07	906	2.56	19.96	39.68	5.17
CC03.08	1046	1.72	53.92	41.03	31.05
CC03.09	856	2.16	0	39.18	5.4
CC03.10	1040	1.68	74.24	40.02	7.36
CC03.11	1098	2.64	3.17	50.79	6
CC03.12	890	1.63	32.97	47.25	16.05
CC03.13	1774	1.1	73.85	12.24	22.15
CC03.14	2274	1.51	89.36	8.91	52.98
CC03.15	2158	1.35	103.1	8.23	20.98
CC03.16	1814	2.31	166.07	10.6	27.65
CC03.17	1572	1.47	168.91	11.56	42.42
CC03.18	2364	1.55	20.29	9.64	26.16
CC04.01	182.2	4.52	0	14.91	7.79
CC04.02	173.4	5.76	23.76	15.55	3.89
CC04.03	155.2	4.97	0	13.76	6.7
CC04.04	175	5.15	NA	17.91	7.23
CC04.05	178	4.09	0	17.45	5.78
CC04.06	202.1	4	33.15	16.32	6.74
CC04.07	916	1.08	12.29	48.48	12.93
CC04.08	820	1.22	29.07	45.68	10.69
CC04.09	902	3.86	57.08	45.33	9.65
CC04.10	950	2.14	0	39.35	8.2
CC04.11	928	2.35	0.19	43.94	5.43
CC04.12	724	2.46	0	32.26	4.22
CC04.13	1310	1.69	28.27	9.87	14.58
CC04.14	1540	0.77	21.99	11.04	20.87
CC04.15	1710	1.02	16.71	10.97	19.57
CC04.16	1798	2.07	103.82	9.99	16.8
CC04.17	2002	2.1	59.17	10.47	12.25
CC04.18	1520	0.9	169.86	12.24	6.18
CC05.01	168.4	6.36	6.48	21.44	8.1
CC05.02	166.9	5.17	9.26	13.45	8.65
CC05.03	151.3	5.52	0	20.68	7.42
CC05.04	198.2	4.8	0	16.66	12.59
CC05.05	199.9	4.11	0	15.01	6.24
CC05.06	214.5	2.85	0	12.55	3.83
CC05.07	972	2.4	31.65	50.43	12.29
CC05.08	930	2.69	0	47.25	9.52
CC05.09	1036	1.62	216.63	56.21	19.36
CC05.10	1076	1.41	8.96	43.08	6.84
CC05.11	914	1.54	0	44.98	11.86
CC05.12	798	0.81	86.99	39.68	10.95
CC05.13	2120	1.01	50.58	9.47	5.56
CC05.14	2290	1.08	36.27	8.91	7.14
CC05.15	2010	1.81	21.44	10.11	6.5
CC05.16	1730	1.07	33.61	12.58	6.17
CC05.17	2006	1.1	33.29	10.78	17.34
CC05.18	1964	1.15	16.33	9.87	17.06
CC06.01	176.8	4.89	0	17.68	6.87
CC06.02	165.4	5.92	0	24.99	6.26
CC06.03	151.9	4.52	0	24.85	6.14
CC06.04	162.4	2.14	8.46	19.7	NA
CC06.05	182.4	4.85	32.64	21.44	2.37
CC06.06	182.3	5.59	0	21.82	2.14
CC06.07	738	1.72	0	38.34	5.05
CC06.08	722	3.08	0	40.53	7.48
CC06.09	724	0	21.59	8.94	6.25
CC06.10	732	2.31	13.41	2.33	6.78
CC06.11	764	5.36	25.32	0	13.88
CC06.12	904	3.71	13.57	4.37	6.34
CC06.13	1840	1.43	48.8	10.6	12.31
CC06.14	2150	2.65	59.68	9.47	9.25
CC06.15	1972	2.16	27.02	13.45	9.3
CC06.16	1178	1.31	25.79	11.36	6.84
CC06.17	1916	1.31	22.17	10.23	3.77
CC06.18	1730	2.31	16.7	11.89	7.58
CC07.01	183.1	4.13	0	25.13	9.85
CC07.02	156.5	5.01	0	22.2	4.66
CC07.03	158.5	5.76	26.64	22.59	14
CC07.04	202.1	5.48	0	21.69	4.02
CC07.05	193.3	6.41	0	22.46	9.08
CC07.06	184.4	4.94	0	18.5	5.94
CC07.07	870	1.64	16.87	4.6	8.7
CC07.08	766	14.79	29.37	9.63	9.13
CC07.09	588	3.2	17.96	17.95	4.84
CC07.10	931	1.45	25.95	24.51	7.83
CC07.11	975	5.86	13.44	11.93	8.78
CC07.12	898	10.08	24.7	5.28	5.93
CC07.13	1295	0.75	16.29	11.36	10.47
CC07.14	1730	1.03	23.77	11.56	8.15
CC07.15	1622	0.75	26.52	10.78	9.06
CC07.16	1600	1.26	99.55	12.51	5.89
CC07.17	1416	1.28	68.16	15.13	7.58
CC07.18	1612	0.8	61.73	12.87	4.89
CC08.01	153.3	3.48	0	16.21	9.77
CC08.02	147.9	3.87	0	19.09	4.83
CC08.03	182.4	2.38	0	23.51	20.15
CC08.04	182.6	2.03	0	20.19	6.44
CC08.05	215.1	3.07	4.56	21.82	6.02
CC08.06	192.4	5.01	0	19.21	7.56
CC08.07	836	5.31	30.82	1.87	13.84
CC08.08	916	1.35	19.85	4.6	16.21
CC08.09	918	8.43	16.87	0.29	9.27
CC08.10	708	2.21	65.51	0	6.39
CC08.11	943	8.65	101.71	3.69	6.11
CC08.12	830	4.5	17.75	6.65	6.81
CC08.13	1866	2.19	17.25	10.05	12.17
CC08.14	1856	1.03	29.69	37.75	10.14
CC08.15	1684	0.89	28.86	13.23	15.07
CC08.16	1786	0.84	75.61	12.87	2.95
CC08.17	1134	1.39	18.07	11.1	6.24
CC08.18	1866	2.34	48.8	10.85	5.42
CC09.01	151.4	4.63	0	24.04	14.47
CC09.02	154.1	5.21	61.55	25.26	13.87
CC09.03	177.5	4.13	1.96	22.72	9.28
CC09.04	190.4	3.27	8.46	24.45	5.63
CC09.05	192.3	4.06	0	24.18	14.08
CC09.06	196.4	5.09	0	20.68	11.61
CC09.07	674	3.35	14.41	8.25	10.05
CC09.08	910	5.36	25.32	8.71	3.94
CC09.09	638	8.93	64.8	2.33	13.17
CC09.10	992	18.81	43.04	5.05	9.58
CC09.11	856	13.47	28.62	9.17	7.57
CC09.12	798	9.21	16.87	0	5.1
CC09.13	1720	1.47	72.11	12.66	8.53
CC09.14	1545	2.22	21.99	12.44	8.55
CC09.15	2076	1.74	27.53	11.36	10.53
CC09.16	1732	1.6	56.69	10.11	3.93
CC09.17	1868	1.4	108.92	11.83	12.19
CC09.18	2092	1.51	20.13	14.35	9.35
CC10.01	167.3	4.63	34.71	24.85	6.02
CC10.02	176.6	5.78	0	25.26	13.58
CC10.03	164.3	5.24	0	26.37	9.99
CC10.04	198.8	5.45	0	20.19	5.76
CC10.05	217.4	3.85	4.94	20.56	7.37
CC10.06	178.4	4.25	0	21.95	7.89
CC10.07	858	10.32	27.58	4.6	9.12
CC10.08	684	1.43	36.09	16.56	9.01
CC10.09	708	10.02	13.45	15.63	5.92
CC10.10	764	9.96	25.32	7.11	7.81
CC10.11	942	12.27	28.3	5.51	9.57
CC10.12	894	22.94	24.37	8.94	12.08
CC10.13	1442	0.95	22.36	14.98	6.78
CC10.14	1678	2.42	164.2	3.84	3.38
CC10.15	1576	2.11	65.43	7.64	8.36
CC10.16	1602	2.91	47.5	9.18	5.45
CC10.17	1530	1.76	24.2	9.35	10.9
CC10.18	1310	0.85	39.49	6.07	7.19
CC11.01	184.2	4.79	0	22.59	7.87
CC11.02	207.8	4.3	10.48	20.81	8.4
CC11.03	183.7	3.94	3.44	20.56	5.45
CC11.04	171.7	6.77	0	27.65	7.93
CC11.05	214.3	5.58	0	28.95	8.67
CC11.06	230	5.71	378.21	28.81	9.73
CC11.07	942	7.27	13.57	9.63	22.24
CC11.08	962	12.07	82.42	0	6.5
CC11.09	1090	2.82	13.87	3.69	15.66
CC11.10	1140	0.51	173.8	8.48	5.23
CC11.11	980	0	39.73	13.77	9.14
CC11.12	874	11.94	17.22	9.4	11.23
CC11.13	1980	1.7	88.05	9.07	14.97
CC11.14	1840	2.18	59.17	6.58	7.25
CC11.15	2114	1.17	148.73	11.1	13.85
CC11.16	1932	2.9	124.32	9.52	12.8
CC11.17	1900	1.09	0	35.05	29.94
CC11.18	2080	1.22	0	34.43	16.54
CC12.01	191.7	3.94	36.28	25.26	8.39
CC12.02	150.9	4.82	34.19	29.39	5.19
CC12.03	167.8	4.6	0	31.19	9.49
CC12.04	196.7	5.39	0	28.22	8.23
CC12.05	204.1	3.66	147.01	27.65	13.23
CC12.06	206.3	6.69	33.67	33.2	5.65
CC12.07	1102	9.91	84.7	6.19	17.21
CC12.08	832	14.3	63.56	8.25	14.58
CC12.09	890	12.59	110.45	8.02	9.28
CC12.10	1014	3.87	34.44	8.25	14.49
CC12.11	1146	3.38	186.7	5.74	15.32
CC12.12	916	0	99.17	13.08	18.32
CC12.13	2460	0.9	0	35.05	5.12
CC12.14	2240	0.85	0	36.74	15.57
CC12.15	2170	0.8	0	33.52	25.42
CC12.16	1880	1.05	0	35.47	12.22
CC12.17	1480	0.69	0	31.1	10.23
CC12.18	2350	1.89	0	35.26	8.19
CC13.01	156.1	4.15	426.95	31.04	15.82
CC13.02	163.2	4.47	374.27	26.09	9.83
CC13.03	174.6	4.35	0	21.56	8.06
CC13.04	209.3	4.63	32.64	24.85	3.95
CC13.05	188.6	5.17	78.41	24.99	6.86
CC13.06	209.1	4.87	120.41	19.94	7.35
CC13.07	836	4.34	15.52	20.75	8.58
CC13.08	984	9.73	26.9	21.69	6.18
CC13.09	942	8.93	17.03	6.65	16.16
CC13.10	968	17.47	14.22	3.92	19.72
CC13.11	998	15.15	13.48	4.6	38.4
CC13.12	922	14.51	19.87	7.34	17.75
CC13.13	1850	1.1	0	35.05	14.28
CC13.14	2100	1.06	0	35.15	6.8
CC13.15	2240	0.85	0	34.64	14.07
CC13.16	1990	0.66	0	44.67	10.05
CC13.17	2480	1.11	0	33.42	11.35
CC13.18	2450	1.05	0	36.21	30.33
