animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA14.13	CA	CA14	35	35	2019-03-11	1819	FALSE	FALSE	FALSE	control	Female	Ross
CA14.14	CA	CA14	35	35	2019-03-11	2293.8	FALSE	FALSE	FALSE	control	Female	Ross
CA14.15	CA	CA14	36	35	2019-03-12	2089.6	FALSE	FALSE	FALSE	control	Female	Ross
CA14.16	CA	CA14	36	35	2019-03-12	2245.8	FALSE	FALSE	FALSE	control	Female	Ross
CA14.17	CA	CA14	37	35	2019-03-13	2369	FALSE	FALSE	FALSE	control	Female	Ross
CA14.18	CA	CA14	37	35	2019-03-13	1944	FALSE	FALSE	FALSE	control	Female	Ross
CA15.01	CA	CA15	7	7	2019-02-11	181.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.02	CA	CA15	7	7	2019-02-11	198.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.03	CA	CA15	8	7	2019-02-12	236.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.04	CA	CA15	8	7	2019-02-12	217.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.05	CA	CA15	8	7	2019-02-12	220.4	NA	NA	NA	phytobiotic	Female	Cobb
CA15.06	CA	CA15	8	7	2019-02-12	158	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.07	CA	CA15	21	21	2019-02-25	1088	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.08	CA	CA15	21	21	2019-02-25	972.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.09	CA	CA15	21	21	2019-02-25	1024.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.10	CA	CA15	22	21	2019-02-26	1123.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.11	CA	CA15	22	21	2019-02-26	1121.8	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.12	CA	CA15	22	21	2019-02-26	949.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.13	CA	CA15	35	35	2019-03-11	2160.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.14	CA	CA15	35	35	2019-03-11	2352	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.15	CA	CA15	36	35	2019-03-12	2480.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.16	CA	CA15	36	35	2019-03-12	2355.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.17	CA	CA15	37	35	2019-03-13	2238.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA15.18	CA	CA15	37	35	2019-03-13	2267.8	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA16.01	CA	CA16	7	7	2019-02-11	192.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.02	CA	CA16	7	7	2019-02-11	164.6	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.03	CA	CA16	7	7	2019-02-11	210	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.04	CA	CA16	8	7	2019-02-12	225.6	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.05	CA	CA16	8	7	2019-02-12	199.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.06	CA	CA16	8	7	2019-02-12	199.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.07	CA	CA16	21	21	2019-02-25	789.8	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.08	CA	CA16	21	21	2019-02-25	1115.8	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.09	CA	CA16	21	21	2019-02-25	920.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.10	CA	CA16	22	21	2019-02-26	1123.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.11	CA	CA16	22	21	2019-02-26	1141.6	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.12	CA	CA16	22	21	2019-02-26	1196.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.13	CA	CA16	35	35	2019-03-11	2191	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.14	CA	CA16	35	35	2019-03-11	2796.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.15	CA	CA16	36	35	2019-03-12	2671	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.16	CA	CA16	36	35	2019-03-12	2525.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.17	CA	CA16	37	35	2019-03-13	2352	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA16.18	CA	CA16	37	35	2019-03-13	2977	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA17.01	CA	CA17	7	7	2019-02-11	202	NA	NA	NA	probiotic	Male	Ross
CA17.02	CA	CA17	7	7	2019-02-11	192.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.03	CA	CA17	7	7	2019-02-11	174.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.04	CA	CA17	8	7	2019-02-12	228.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.05	CA	CA17	8	7	2019-02-12	187.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.06	CA	CA17	8	7	2019-02-12	249.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.07	CA	CA17	21	21	2019-02-25	1232	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.08	CA	CA17	21	21	2019-02-25	944.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.09	CA	CA17	21	21	2019-02-25	785.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.10	CA	CA17	22	21	2019-02-26	1023.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.11	CA	CA17	22	21	2019-02-26	1045.4	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.12	CA	CA17	22	21	2019-02-26	812.8	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.13	CA	CA17	35	35	2019-03-11	1659.2	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.14	CA	CA17	35	35	2019-03-11	2230.8	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.15	CA	CA17	36	35	2019-03-12	2475	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.16	CA	CA17	36	35	2019-03-12	2389.8	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.17	CA	CA17	37	35	2019-03-13	2233.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA17.18	CA	CA17	37	35	2019-03-13	2335.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA18.01	CA	CA18	7	7	2019-02-11	155.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.02	CA	CA18	7	7	2019-02-11	170	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.03	CA	CA18	7	7	2019-02-11	183	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.04	CA	CA18	8	7	2019-02-12	250.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.05	CA	CA18	8	7	2019-02-12	210.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.06	CA	CA18	8	7	2019-02-12	164.4	NA	NA	NA	control	Female	Cobb
CA18.07	CA	CA18	21	21	2019-02-25	932.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.08	CA	CA18	21	21	2019-02-25	883.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.09	CA	CA18	21	21	2019-02-25	1149.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.10	CA	CA18	22	21	2019-02-26	1035.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.11	CA	CA18	22	21	2019-02-26	832	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.12	CA	CA18	22	21	2019-02-26	931.2	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.13	CA	CA18	35	35	2019-03-11	1998.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.14	CA	CA18	35	35	2019-03-11	2250.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.15	CA	CA18	36	35	2019-03-12	2392.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.16	CA	CA18	36	35	2019-03-12	2176	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.17	CA	CA18	37	35	2019-03-13	2244.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA18.18	CA	CA18	37	35	2019-03-13	2340.2	FALSE	FALSE	FALSE	control	Female	Cobb
CA19.01	CA	CA19	7	7	2019-02-11	151.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.02	CA	CA19	7	7	2019-02-11	182.2	NA	NA	NA	probiotic	Female	Ross
CA19.03	CA	CA19	7	7	2019-02-11	173.6	NA	NA	NA	probiotic	Female	Ross
CA19.04	CA	CA19	8	7	2019-02-12	196.2	NA	NA	NA	probiotic	Female	Ross
CA19.05	CA	CA19	8	7	2019-02-12	191	NA	NA	NA	probiotic	Female	Ross
CA19.06	CA	CA19	8	7	2019-02-12	208	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.07	CA	CA19	21	21	2019-02-25	935.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.08	CA	CA19	21	21	2019-02-25	913.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.09	CA	CA19	21	21	2019-02-25	833	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.10	CA	CA19	22	21	2019-02-26	780.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.11	CA	CA19	22	21	2019-02-26	801.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.12	CA	CA19	22	21	2019-02-26	874.8	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.13	CA	CA19	35	35	2019-03-11	1847.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.14	CA	CA19	35	35	2019-03-11	1670.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.15	CA	CA19	36	35	2019-03-12	2013.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.16	CA	CA19	36	35	2019-03-12	2180.8	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.17	CA	CA19	37	35	2019-03-13	2291.8	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA19.18	CA	CA19	37	35	2019-03-13	2143.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA20.01	CA	CA20	7	7	2019-02-11	169.6	NA	NA	NA	probiotic	Female	Cobb
CA20.02	CA	CA20	7	7	2019-02-11	171.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.03	CA	CA20	7	7	2019-02-11	213.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.04	CA	CA20	8	7	2019-02-12	189.8	NA	NA	NA	probiotic	Female	Cobb
CA20.05	CA	CA20	8	7	2019-02-12	231.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.06	CA	CA20	8	7	2019-02-12	214.8	NA	NA	NA	probiotic	Female	Cobb
CA20.07	CA	CA20	21	21	2019-02-25	960.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.08	CA	CA20	21	21	2019-02-25	717.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.09	CA	CA20	21	21	2019-02-25	904.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.10	CA	CA20	22	21	2019-02-26	1057	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.11	CA	CA20	22	21	2019-02-26	1000.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.12	CA	CA20	22	21	2019-02-26	1096.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.13	CA	CA20	35	35	2019-03-11	2091.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.14	CA	CA20	35	35	2019-03-11	2256.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.15	CA	CA20	36	35	2019-03-12	2211.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.16	CA	CA20	36	35	2019-03-12	2395.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.17	CA	CA20	37	35	2019-03-13	2214.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA20.18	CA	CA20	37	35	2019-03-13	2349.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA21.01	CA	CA21	7	7	2019-02-11	219.2	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.02	CA	CA21	7	7	2019-02-11	172	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.03	CA	CA21	7	7	2019-02-11	202.6	NA	NA	NA	phytobiotic	Male	Ross
CA21.04	CA	CA21	8	7	2019-02-12	201	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.05	CA	CA21	8	7	2019-02-12	187.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.06	CA	CA21	8	7	2019-02-12	176	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.07	CA	CA21	21	21	2019-02-25	886.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.08	CA	CA21	21	21	2019-02-25	810.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.09	CA	CA21	21	21	2019-02-25	943.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.10	CA	CA21	22	21	2019-02-26	719	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.11	CA	CA21	22	21	2019-02-26	842	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.12	CA	CA21	22	21	2019-02-26	1133.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.13	CA	CA21	35	35	2019-03-11	2519.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.14	CA	CA21	35	35	2019-03-11	2598.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.15	CA	CA21	36	35	2019-03-12	1908.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.16	CA	CA21	36	35	2019-03-12	1916.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.17	CA	CA21	37	35	2019-03-13	1930.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA21.18	CA	CA21	37	35	2019-03-13	2401.2	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA22.01	CA	CA22	7	7	2019-02-11	173.2	NA	NA	NA	control	Male	Cobb
CA22.02	CA	CA22	7	7	2019-02-11	177.6	NA	NA	NA	control	Male	Cobb
CA22.03	CA	CA22	7	7	2019-02-11	194.2	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.04	CA	CA22	8	7	2019-02-12	215.2	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.05	CA	CA22	8	7	2019-02-12	272.6	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.06	CA	CA22	8	7	2019-02-12	216	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.07	CA	CA22	21	21	2019-02-25	912.6	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.08	CA	CA22	21	21	2019-02-25	1003	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.09	CA	CA22	21	21	2019-02-25	962.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.10	CA	CA22	22	21	2019-02-26	989.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.11	CA	CA22	22	21	2019-02-26	1198.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.12	CA	CA22	22	21	2019-02-26	866.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.13	CA	CA22	35	35	2019-03-11	2333	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.14	CA	CA22	35	35	2019-03-11	2428.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.15	CA	CA22	36	35	2019-03-12	2385.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.16	CA	CA22	36	35	2019-03-12	2195.6	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.17	CA	CA22	37	35	2019-03-13	2671.2	FALSE	FALSE	FALSE	control	Male	Cobb
CA22.18	CA	CA22	37	35	2019-03-13	2871	FALSE	TRUE	FALSE	control	Male	Cobb
CA23.01	CA	CA23	7	7	2019-02-11	194.6	NA	NA	NA	control	Male	Ross
CA23.02	CA	CA23	7	7	2019-02-11	181.6	FALSE	FALSE	FALSE	control	Male	Ross
CA23.03	CA	CA23	7	7	2019-02-11	182.8	NA	NA	NA	control	Male	Ross
CA23.04	CA	CA23	8	7	2019-02-12	233	FALSE	FALSE	FALSE	control	Male	Ross
CA23.05	CA	CA23	8	7	2019-02-12	217	FALSE	FALSE	FALSE	control	Male	Ross
CA23.06	CA	CA23	8	7	2019-02-12	181.6	NA	NA	NA	control	Male	Ross
CA23.07	CA	CA23	21	21	2019-02-25	954.8	FALSE	FALSE	FALSE	control	Male	Ross
CA23.08	CA	CA23	21	21	2019-02-25	862.8	FALSE	FALSE	FALSE	control	Male	Ross
CA23.09	CA	CA23	21	21	2019-02-25	986.8	FALSE	FALSE	FALSE	control	Male	Ross
CA23.10	CA	CA23	22	21	2019-02-26	1038.6	FALSE	FALSE	FALSE	control	Male	Ross
CA23.11	CA	CA23	22	21	2019-02-26	787	FALSE	FALSE	FALSE	control	Male	Ross
CA23.12	CA	CA23	22	21	2019-02-26	919.2	FALSE	FALSE	FALSE	control	Male	Ross
CA23.13	CA	CA23	35	35	2019-03-11	2346.6	FALSE	FALSE	FALSE	control	Male	Ross
CA23.14	CA	CA23	35	35	2019-03-11	1923.4	FALSE	FALSE	FALSE	control	Male	Ross
CA23.15	CA	CA23	36	35	2019-03-12	1986.2	FALSE	FALSE	FALSE	control	Male	Ross
CA23.16	CA	CA23	36	35	2019-03-12	2491.2	FALSE	FALSE	FALSE	control	Male	Ross
CA23.17	CA	CA23	37	35	2019-03-13	2317.4	FALSE	FALSE	FALSE	control	Male	Ross
CA23.18	CA	CA23	37	35	2019-03-13	2327.4	FALSE	FALSE	FALSE	control	Male	Ross
CA24.01	CA	CA24	7	7	2019-02-11	180	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.02	CA	CA24	7	7	2019-02-11	196.8	NA	NA	NA	phytobiotic	Female	Ross
CA24.03	CA	CA24	7	7	2019-02-11	186.4	NA	NA	NA	phytobiotic	Female	Ross
CA24.04	CA	CA24	8	7	2019-02-12	185.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.05	CA	CA24	8	7	2019-02-12	171.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.06	CA	CA24	8	7	2019-02-12	191.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.07	CA	CA24	21	21	2019-02-25	870.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.08	CA	CA24	21	21	2019-02-25	892.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.09	CA	CA24	21	21	2019-02-25	807.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.10	CA	CA24	22	21	2019-02-26	769.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.11	CA	CA24	22	21	2019-02-26	953.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.12	CA	CA24	22	21	2019-02-26	1019.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.13	CA	CA24	35	35	2019-03-11	1711.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.14	CA	CA24	35	35	2019-03-11	1962	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.15	CA	CA24	36	35	2019-03-12	2041.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.16	CA	CA24	36	35	2019-03-12	1940.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.17	CA	CA24	37	35	2019-03-13	2106.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA24.18	CA	CA24	37	35	2019-03-13	2019.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB01.01	CB	CB01	NA	7	NA	172.8	NA	NA	NA	phytobiotic	Female	Cobb
CB01.02	CB	CB01	7	7	2019-05-06	159	NA	NA	NA	phytobiotic	Female	Cobb
CB01.03	CB	CB01	7	7	2019-05-06	209.7	NA	NA	NA	phytobiotic	Female	Cobb
CB01.04	CB	CB01	8	7	2019-05-07	196.7	NA	NA	NA	phytobiotic	Female	Cobb
CB01.05	CB	CB01	8	7	2019-05-07	230.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.06	CB	CB01	8	7	2019-05-07	215.2	NA	NA	NA	phytobiotic	Female	Cobb
CB01.07	CB	CB01	21	21	2019-05-20	1000	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.08	CB	CB01	21	21	2019-05-20	1000	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.09	CB	CB01	21	21	2019-05-20	950	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.10	CB	CB01	22	21	2019-05-21	1045.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.11	CB	CB01	22	21	2019-05-21	1080.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.12	CB	CB01	22	21	2019-05-21	984.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.13	CB	CB01	35	35	2019-06-03	2305.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.14	CB	CB01	35	35	2019-06-03	2114.5	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.15	CB	CB01	36	35	2019-06-04	2077.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.16	CB	CB01	36	35	2019-06-04	2169.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.17	CB	CB01	37	35	2019-06-05	2371.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB01.18	CB	CB01	37	35	2019-06-05	1931.7	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CB02.01	CB	CB02	7	7	2019-05-06	174.6	NA	NA	NA	phytobiotic	Male	Ross
CB02.02	CB	CB02	7	7	2019-05-06	177.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.03	CB	CB02	7	7	2019-05-06	166.3	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.04	CB	CB02	8	7	2019-05-07	202.9	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.05	CB	CB02	8	7	2019-05-07	202.9	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.06	CB	CB02	8	7	2019-05-07	199.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.07	CB	CB02	21	21	2019-05-20	776	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.08	CB	CB02	21	21	2019-05-20	1018.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.09	CB	CB02	21	21	2019-05-20	851.7	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.10	CB	CB02	22	21	2019-05-21	1077.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.11	CB	CB02	22	21	2019-05-21	1103.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.12	CB	CB02	22	21	2019-05-21	717	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.13	CB	CB02	35	35	2019-06-03	2212.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.14	CB	CB02	35	35	2019-06-03	2158.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.15	CB	CB02	36	35	2019-06-04	1903.6	NA	NA	NA	phytobiotic	Male	Ross
CB02.16	CB	CB02	36	35	2019-06-04	2483.1	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.17	CB	CB02	37	35	2019-06-05	2384	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB02.18	CB	CB02	37	35	2019-06-05	2636.3	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CB03.01	CB	CB03	7	7	2019-05-06	167.1	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.02	CB	CB03	7	7	2019-05-06	180	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.03	CB	CB03	7	7	2019-05-06	156.5	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.04	CB	CB03	8	7	2019-05-07	196.8	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.05	CB	CB03	8	7	2019-05-07	226.2	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.06	CB	CB03	8	7	2019-05-07	215.7	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.07	CB	CB03	21	21	2019-05-20	821.7	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.08	CB	CB03	21	21	2019-05-20	1011.9	NA	NA	NA	control	Male	Cobb
CB03.09	CB	CB03	21	21	2019-05-20	1057.5	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.10	CB	CB03	22	21	2019-05-21	1045.7	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.11	CB	CB03	22	21	2019-05-21	1195.3	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.12	CB	CB03	22	21	2019-05-21	704.2	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.13	CB	CB03	35	35	2019-06-03	2424.3	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.14	CB	CB03	35	35	2019-06-03	2700.5	NA	NA	NA	control	Male	Cobb
CB03.15	CB	CB03	36	35	2019-06-04	2443.5	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.16	CB	CB03	36	35	2019-06-04	2547	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.17	CB	CB03	37	35	2019-06-05	2058.2	FALSE	FALSE	FALSE	control	Male	Cobb
CB03.18	CB	CB03	37	35	2019-06-05	2616.2	FALSE	FALSE	FALSE	control	Male	Cobb
CB04.01	CB	CB04	7	7	2019-05-06	177.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.02	CB	CB04	7	7	2019-05-06	192.5	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.03	CB	CB04	7	7	2019-05-06	168.7	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.04	CB	CB04	8	7	2019-05-07	179.3	NA	NA	NA	phytobiotic	Female	Ross
CB04.05	CB	CB04	8	7	2019-05-07	193.4	NA	NA	NA	phytobiotic	Female	Ross
CB04.06	CB	CB04	8	7	2019-05-07	207.9	NA	NA	NA	phytobiotic	Female	Ross
CB04.07	CB	CB04	21	21	2019-05-20	930.3	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.08	CB	CB04	21	21	2019-05-20	1060.3	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.09	CB	CB04	21	21	2019-05-20	769.9	NA	NA	NA	phytobiotic	Female	Ross
CB04.10	CB	CB04	22	21	2019-05-21	1031.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.11	CB	CB04	22	21	2019-05-21	958.3	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.12	CB	CB04	22	21	2019-05-21	980.7	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.13	CB	CB04	35	35	2019-06-03	2020.01	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CB04.14	CB	CB04	35	35	2019-06-03	2065.6	NA	NA	NA	phytobiotic	Female	Ross
