animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA04.04	CA	CA04	8	7	2019-02-12	219.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.05	CA	CA04	8	7	2019-02-12	197.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.06	CA	CA04	8	7	2019-02-12	194	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.07	CA	CA04	21	21	2019-02-25	963	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.08	CA	CA04	21	21	2019-02-25	1032.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.09	CA	CA04	21	21	2019-02-25	823.2	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.10	CA	CA04	22	21	2019-02-26	1101.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.11	CA	CA04	22	21	2019-02-26	958	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.12	CA	CA04	22	21	2019-02-26	908.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.13	CA	CA04	35	35	2019-03-11	2018.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.14	CA	CA04	35	35	2019-03-11	2494.8	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.15	CA	CA04	36	35	2019-03-12	2327.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.16	CA	CA04	36	35	2019-03-12	2191.6	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.17	CA	CA04	37	35	2019-03-13	2227.4	FALSE	FALSE	FALSE	control	Female	Cobb
CA04.18	CA	CA04	37	35	2019-03-13	2205.2	FALSE	FALSE	FALSE	control	Female	Cobb
CA05.01	CA	CA05	7	7	2019-02-11	176.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.02	CA	CA05	7	7	2019-02-11	169.4	NA	NA	NA	phytobiotic	Female	Ross
CA05.03	CA	CA05	7	7	2019-02-11	156.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.04	CA	CA05	8	7	2019-02-12	201	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.05	CA	CA05	8	7	2019-02-12	177.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.06	CA	CA05	8	7	2019-02-12	213.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.07	CA	CA05	21	21	2019-02-25	767.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.08	CA	CA05	21	21	2019-02-25	683.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.09	CA	CA05	21	21	2019-02-25	889.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.10	CA	CA05	22	21	2019-02-26	769.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.11	CA	CA05	22	21	2019-02-26	781	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.12	CA	CA05	22	21	2019-02-26	898.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.13	CA	CA05	35	35	2019-03-11	2216.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.14	CA	CA05	35	35	2019-03-11	1940.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.15	CA	CA05	36	35	2019-03-12	2074.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.16	CA	CA05	36	35	2019-03-12	2069	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.17	CA	CA05	37	35	2019-03-13	2275.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA05.18	CA	CA05	37	35	2019-03-13	1910.2	FALSE	FALSE	FALSE	phytobiotic	Female	Ross
CA06.01	CA	CA06	7	7	2019-02-11	160.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.02	CA	CA06	7	7	2019-02-11	167	NA	NA	NA	probiotic	Male	Cobb
CA06.03	CA	CA06	7	7	2019-02-11	183.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.04	CA	CA06	8	7	2019-02-12	206	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.05	CA	CA06	8	7	2019-02-12	219.8	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.06	CA	CA06	8	7	2019-02-12	163	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.07	CA	CA06	21	21	2019-02-25	928.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.08	CA	CA06	21	21	2019-02-25	913.6	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.09	CA	CA06	21	21	2019-02-25	742.6	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.10	CA	CA06	22	21	2019-02-26	1054	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.11	CA	CA06	22	21	2019-02-26	1154.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.12	CA	CA06	22	21	2019-02-26	1147.8	FALSE	FALSE	FALSE	probiotic	Male	Cobb
